com;typecom;reg;dep;arr;tncc;ncc;nccenr;libelle;can;comparent;nom_commune;latitude;longitude
21046;COM;27;21;211;0;BARD LE REGULIER;Bard-le-Régulier;Bard-le-Régulier;2101;;Bard-le-RÃ©gulier;47.133333;4.316667
21047;COM;27;21;213;0;BARD LES EPOISSES;Bard-lès-Époisses;Bard-lès-Époisses;2122;;Bard-lÃ¨s-Epoisses;47.533333;4.216667
21048;COM;27;21;211;0;BARGES;Barges;Barges;2120;;Barges;47.216667;5.066667
21049;COM;27;21;212;0;BARJON;Barjon;Barjon;2116;;Barjon;47.616667;4.966667
21050;COM;27;21;211;0;BAUBIGNY;Baubigny;Baubigny;2101;;Baubigny;46.966667;4.683333
21051;COM;27;21;212;0;BAULME LA ROCHE;Baulme-la-Roche;Baulme-la-Roche;2123;;Baulme-la-Roche;47.35;4.8
21052;COM;27;21;213;0;BEAULIEU;Beaulieu;Beaulieu;2105;;Beaulieu;;
21053;COM;27;21;212;0;BEAUMONT SUR VINGEANNE;Beaumont-sur-Vingeanne;Beaumont-sur-Vingeanne;2121;;Beaumont-sur-Vingeanne;47.466667;5.366667
21054;COM;27;21;211;0;BEAUNE;Beaune;Beaune;2103;;Beaune;47.033333;4.833333
21055;COM;27;21;213;0;BEAUNOTTE;Beaunotte;Beaunotte;2105;;Beaunotte;47.683333;4.7
21056;COM;27;21;212;0;BEIRE LE CHATEL;Beire-le-Châtel;Beire-le-Châtel;2121;;Beire-le-ChÃ¢tel;47.416667;5.2
21057;COM;27;21;212;0;BEIRE LE FORT;Beire-le-Fort;Beire-le-Fort;2115;;Beire-le-Fort;47.233333;5.25
21058;COM;27;21;213;0;BELAN SUR OURCE;Belan-sur-Ource;Belan-sur-Ource;2105;;Belan-sur-Ource;47.933333;4.65
21059;COM;27;21;212;0;BELLEFOND;Bellefond;Bellefond;2114;;Bellefond;47.383333;5.066667
21060;COM;27;21;212;0;BELLENEUVE;Belleneuve;Belleneuve;2121;;Belleneuve;47.366667;5.266667
21061;COM;27;21;213;0;BELLENOD SUR SEINE;Bellenod-sur-Seine;Bellenod-sur-Seine;2105;;Bellenod-sur-Seine;47.7;4.65
21062;COM;27;21;211;0;BELLENOT SOUS POUILLY;Bellenot-sous-Pouilly;Bellenot-sous-Pouilly;2101;;Bellenot-sous-Pouilly;47.283333;4.55
21063;COM;27;21;213;0;BENEUVRE;Beneuvre;Beneuvre;2105;;Beneuvre;47.7;4.95
21064;COM;27;21;213;0;BENOISEY;Benoisey;Benoisey;2119;;Benoisey;47.583333;4.4
21065;COM;27;21;211;0;BESSEY EN CHAUME;Bessey-en-Chaume;Bessey-en-Chaume;2101;;Bessey-en-Chaume;47.083333;4.733333
21066;COM;27;21;211;0;BESSEY LA COUR;Bessey-la-Cour;Bessey-la-Cour;2101;;Bessey-la-Cour;47.1;4.616667
21067;COM;27;21;212;0;BESSEY LES CITEAUX;Bessey-lès-Cîteaux;Bessey-lès-Cîteaux;2115;;Bessey-lÃ¨s-CÃ®teaux;47.15;5.166667
21068;COM;27;21;211;0;BEUREY BAUGUAY;Beurey-Bauguay;Beurey-Bauguay;2101;;Beurey-Bauguay;47.233333;4.433333
21069;COM;27;21;213;0;BEURIZOT;Beurizot;Beurizot;2122;;Beurizot;47.35;4.5
21070;COM;27;21;211;0;BEVY;Bévy;Bévy;2118;;BÃ©vy;47.183333;4.85
21071;COM;27;21;212;0;BEZE;Bèze;Bèze;2121;;BÃ¨ze;47.466667;5.266667
21072;COM;27;21;212;0;BEZOUOTTE;Bézouotte;Bézouotte;2121;;BÃ©zouotte;47.383333;5.333333
21074;COM;27;21;212;0;BILLEY;Billey;Billey;2102;;Billey;47.15;5.433333
21075;COM;27;21;213;0;BILLY LES CHANCEAUX;Billy-lès-Chanceaux;Billy-lès-Chanceaux;2105;;Billy-lÃ¨s-Chanceaux;47.533333;4.7
